x,top
-209.376386847,1450.0
-184.376386847,1450.0
-159.376386847,1550.0
-134.376386847,1400.0
-109.376386847,1438.88888889
-84.3763868469,1511.11111111
-59.3763868469,1550.0
-34.3763868469,1375.0
-9.37638684686,1375.0
15.6236131531,1375.0
40.6236131531,1375.0
65.6236131531,1420.37037037
90.6236131531,1504.62962963
115.623613153,1550.0
140.623613153,1550.0
165.623613153,1550.0
190.623613153,1525.0
215.623613153,1525.0
240.623613153,1525.0
265.623613153,1475.0
290.623613153,1425.0
315.623613153,1525.0
340.623613153,1500.0
365.623613153,1800.0
390.623613153,1500.0
415.623613153,1525.0
440.623613153,1550.0
465.623613153,1700.0
490.623613153,1700.0
515.623613153,1525.0
540.623613153,1525.0
565.623613153,1500.0
590.623613153,1500.0
615.623613153,1500.0
640.623613153,1475.0
665.623613153,1475.0
690.623613153,1450.0
715.623613153,1425.0
740.623613153,1425.0
765.623613153,1425.0
790.623613153,1500.0
815.623613153,1475.0
840.623613153,1475.0
865.623613153,1450.0
890.623613153,1450.0
915.623613153,1425.0
940.623613153,1425.0
965.623613153,1450.0
990.623613153,1466.82692308
1015.62361315,1475.0
1040.62361315,1475.0
1065.62361315,1475.0
1090.62361315,1475.0
1115.62361315,1475.0
1140.62361315,1500.0
1165.62361315,1500.0
1190.62361315,1500.0
1215.62361315,1500.0
1240.62361315,1525.0
1265.62361315,1525.0
1290.62361315,1525.0
1315.62361315,1450.0
1340.62361315,1425.0
1365.62361315,1425.0
1390.62361315,1425.0
1415.62361315,1425.0
1440.62361315,1450.0
1465.62361315,1450.0
1490.62361315,1425.0
1515.62361315,1425.0
1540.62361315,1425.0
1565.62361315,1425.0
1590.62361315,1450.0
1615.62361315,1450.0
1640.62361315,1475.0
1665.62361315,1550.0
1690.62361315,1550.0
1715.62361315,1550.0
1740.62361315,1575.0
1765.62361315,1625.0
1790.62361315,1600.0
1815.62361315,1600.0
1840.62361315,1450.0
1865.62361315,1450.0
1890.62361315,1450.0
1915.62361315,1453.90625
1940.62361315,1462.5
1965.62361315,1471.09375
1990.62361315,1475.0
2015.62361315,1475.0
2040.62361315,1450.0
2065.62361315,1425.0
2090.62361315,1400.0
2115.62361315,1400.0
2140.62361315,1400.0
2165.62361315,1375.0
2190.62361315,1400.0
2215.62361315,1425.0
2240.62361315,1425.0
2265.62361315,1425.0
2290.62361315,1425.0
2315.62361315,1450.0
2340.62361315,1425.0
2365.62361315,1400.0
2390.62361315,1475.0
2415.62361315,1475.0
2440.62361315,1475.0
2465.62361315,1500.0
2490.62361315,1425.0
2515.62361315,1425.0
2540.62361315,1450.0
2565.62361315,1450.0
2590.62361315,1425.0
2615.62361315,1425.0
2640.62361315,1450.0
2665.62361315,1475.0
2690.62361315,1450.0
2715.62361315,1425.0
2740.62361315,1425.0
2765.62361315,1425.0
2790.62361315,1425.0
2815.62361315,1425.0
2840.62361315,1425.0
2865.62361315,1450.0
2890.62361315,1450.0
2915.62361315,1475.0
2940.62361315,1475.0
2965.62361315,1500.0
2990.62361315,1500.0
3015.62361315,1500.0
3040.62361315,1450.0
3065.62361315,1475.0
3090.62361315,1450.0
3115.62361315,1425.0
3140.62361315,1425.0
3165.62361315,1450.0
3190.62361315,1450.0
3215.62361315,1450.0
3240.62361315,1450.0
3265.62361315,1450.0
3290.62361315,1475.0
3315.62361315,1475.0
3340.62361315,1475.0
